[s],CH2[V]
-5.1420E-02,-4.5405737481E+00
-5.1400E-02,-4.6074826809E+00
-5.1380E-02,-4.5917877286E+00
-5.1360E-02,-4.5754070368E+00
-5.1340E-02,-4.5782167998E+00
-5.1320E-02,-4.6251258467E+00
-5.1300E-02,-4.6636048893E+00
-5.1280E-02,-4.6590833286E+00
-5.1260E-02,-4.6794972045E+00
-5.1240E-02,-4.7011913882E+00
-5.1220E-02,-4.6878040417E+00
-5.1200E-02,-4.7333938232E+00
-5.1180E-02,-4.7417370431E+00
-5.1160E-02,-4.7640660877E+00
-5.1140E-02,-4.7490648859E+00
-5.1120E-02,-4.7468684785E+00
-5.1100E-02,-4.7728357431E+00
-5.1080E-02,-4.7973083139E+00
-5.1060E-02,-4.7958445191E+00
-5.1040E-02,-4.8271207457E+00
-5.1020E-02,-4.8395495541E+00
-5.1000E-02,-4.8301122313E+00
-5.0980E-02,-4.8655594479E+00
-5.0960E-02,-4.8796257151E+00
-5.0940E-02,-4.8494341501E+00
-5.0920E-02,-4.9034843580E+00
-5.0900E-02,-4.8963205949E+00
-5.0880E-02,-4.9017775671E+00
-5.0860E-02,-4.9209576745E+00
-5.0840E-02,-4.9259188791E+00
-5.0820E-02,-4.9377215526E+00
-5.0800E-02,-4.9390761993E+00
-5.0780E-02,-4.9764543680E+00
-5.0760E-02,-4.9434598110E+00
-5.0740E-02,-4.9740625050E+00
-5.0720E-02,-4.9992931039E+00
-5.0700E-02,-5.0001351983E+00
-5.0680E-02,-5.0075890692E+00
-5.0660E-02,-5.0274970685E+00
-5.0640E-02,-5.0601509253E+00
-5.0620E-02,-5.0485391297E+00
-5.0600E-02,-5.0589954058E+00
-5.0580E-02,-5.0694520157E+00
-5.0560E-02,-5.0949493095E+00
-5.0540E-02,-5.0943427250E+00
-5.0520E-02,-5.0916743919E+00
-5.0500E-02,-5.1224546124E+00
-5.0480E-02,-5.1303246667E+00
-5.0460E-02,-5.1259943177E+00
-5.0440E-02,-5.1431543044E+00
-5.0420E-02,-5.1478693657E+00
-5.0400E-02,-5.1447770290E+00
-5.0380E-02,-5.1691476997E+00
-5.0360E-02,-5.1559838945E+00
-5.0340E-02,-5.1779235062E+00
-5.0320E-02,-5.1832586465E+00
-5.0300E-02,-5.2059942903E+00
-5.0280E-02,-5.1910113990E+00
-5.0260E-02,-5.2009210289E+00
-5.0240E-02,-5.2640958021E+00
-5.0220E-02,-5.2277083581E+00
-5.0200E-02,-5.2706524562E+00
-5.0180E-02,-5.2584404657E+00
-5.0160E-02,-5.2774298382E+00
-5.0140E-02,-5.3085715490E+00
-5.0120E-02,-5.3126860338E+00
-5.0100E-02,-5.2895300104E+00
-5.0080E-02,-5.3629755701E+00
-5.0060E-02,-5.3448040210E+00
-5.0040E-02,-5.3601725782E+00
-5.0020E-02,-5.3715397563E+00
-5.0000E-02,-5.3549833023E+00
-4.9980E-02,-5.4048894139E+00
-4.9960E-02,-5.3793283192E+00
-4.9940E-02,-5.4251177524E+00
-4.9920E-02,-5.4021289081E+00
-4.9900E-02,-5.4170782778E+00
-4.9880E-02,-5.4239034866E+00
-4.9860E-02,-5.4644519071E+00
-4.9840E-02,-5.4804612381E+00
-4.9820E-02,-5.4734043342E+00
-4.9800E-02,-5.5007796035E+00
-4.9780E-02,-5.4831169827E+00
-4.9760E-02,-5.5143446672E+00
-4.9740E-02,-5.5111200559E+00
-4.9720E-02,-5.5196406592E+00
-4.9700E-02,-5.5027623401E+00
-4.9680E-02,-5.5308015098E+00
-4.9660E-02,-5.5393987409E+00
-4.9640E-02,-5.5478862517E+00
-4.9620E-02,-5.5494354003E+00
-4.9600E-02,-5.5798946617E+00
-4.9580E-02,-5.5804005859E+00
-4.9560E-02,-5.5626077409E+00
-4.9540E-02,-5.5611909146E+00
-4.9520E-02,-5.6082484009E+00
-4.9500E-02,-5.5882040738E+00
-4.9480E-02,-5.6150208238E+00
-4.9460E-02,-5.6358734852E+00
-4.9440E-02,-5.6527055510E+00
-4.9420E-02,-5.6259244208E+00
-4.9400E-02,-5.6299762969E+00
-4.9380E-02,-5.6440917738E+00
-4.9360E-02,-5.6271701102E+00
-4.9340E-02,-5.6624146710E+00
-4.9320E-02,-5.6634825478E+00
-4.9300E-02,-5.6673230420E+00
-4.9280E-02,-5.7199042100E+00
-4.9260E-02,-5.7015134589E+00
-4.9240E-02,-5.7037610309E+00
-4.9220E-02,-5.7049058215E+00
-4.9200E-02,-5.7049718635E+00
-4.9180E-02,-5.7180406827E+00
-4.9160E-02,-5.7206925649E+00
-4.9140E-02,-5.7226690073E+00
-4.9120E-02,-5.7322545787E+00
-4.9100E-02,-5.7285897990E+00
-4.9080E-02,-5.7283734103E+00
-4.9060E-02,-5.7337505600E+00
-4.9040E-02,-5.7473138117E+00
-4.9020E-02,-5.7408960603E+00
-4.9000E-02,-5.7671691682E+00
-4.8980E-02,-5.7410761140E+00
-4.8960E-02,-5.7601926113E+00
-4.8940E-02,-5.7497992300E+00
-4.8920E-02,-5.7835763244E+00
-4.8900E-02,-5.7626611496E+00
-4.8880E-02,-5.7739233759E+00
-4.8860E-02,-5.7835461883E+00
-4.8840E-02,-5.7742725637E+00
-4.8820E-02,-5.7764111307E+00
-4.8800E-02,-5.7849635868E+00
-4.8780E-02,-5.8134212765E+00
-4.8760E-02,-5.7908207207E+00
-4.8740E-02,-5.8206528936E+00
-4.8720E-02,-5.8234230791E+00
-4.8700E-02,-5.8167498860E+00
-4.8680E-02,-5.8384385860E+00
-4.8660E-02,-5.8558851519E+00
-4.8640E-02,-5.8429566182E+00
-4.8620E-02,-5.8860386177E+00
-4.8600E-02,-5.8538526335E+00
-4.8580E-02,-5.8620586673E+00
-4.8560E-02,-5.8836184783E+00
-4.8540E-02,-5.8725816053E+00
-4.8520E-02,-5.8433755196E+00
-4.8500E-02,-5.8845128818E+00
-4.8480E-02,-5.8941247269E+00
-4.8460E-02,-5.9270837595E+00
-4.8440E-02,-5.9287611773E+00
-4.8420E-02,-5.9043427275E+00
-4.8400E-02,-5.9123881626E+00
-4.8380E-02,-5.9573935324E+00
-4.8360E-02,-5.9470379643E+00
-4.8340E-02,-5.9485743337E+00
-4.8320E-02,-5.9520172888E+00
-4.8300E-02,-5.9784538565E+00
-4.8280E-02,-5.9764322099E+00
-4.8260E-02,-6.0145356002E+00
-4.8240E-02,-5.9908817589E+00
-4.8220E-02,-5.9894903480E+00
-4.8200E-02,-5.9890577137E+00
-4.8180E-02,-6.0088487925E+00
-4.8160E-02,-5.9885030090E+00
-4.8140E-02,-6.0494254418E+00
-4.8120E-02,-6.0561355898E+00
-4.8100E-02,-6.0176568809E+00
-4.8080E-02,-6.0397219486E+00
-4.8060E-02,-6.0605476210E+00
-4.8040E-02,-6.0390579528E+00
-4.8020E-02,-6.0561625788E+00
-4.8000E-02,-6.0469980546E+00
-4.7980E-02,-6.1037973241E+00
-4.7960E-02,-6.0567718813E+00
-4.7940E-02,-6.0843571021E+00
-4.7920E-02,-6.0896749332E+00
-4.7900E-02,-6.0793477846E+00
-4.7880E-02,-6.1013507680E+00
-4.7860E-02,-6.0965130642E+00
-4.7840E-02,-6.1283476194E+00
-4.7820E-02,-6.0757953954E+00
-4.7800E-02,-6.1210722763E+00
-4.7780E-02,-6.1308263143E+00
-4.7760E-02,-6.1138316947E+00
-4.7740E-02,-6.1078331785E+00
-4.7720E-02,-6.1272626718E+00
-4.7700E-02,-6.1222805817E+00
-4.7680E-02,-6.1368906340E+00
-4.7660E-02,-6.1126211005E+00
-4.7640E-02,-6.1378424487E+00
-4.7620E-02,-6.1395736060E+00
-4.7600E-02,-6.1301375707E+00
-4.7580E-02,-6.1383427462E+00
-4.7560E-02,-6.1231458981E+00
-4.7540E-02,-6.1505235039E+00
-4.7520E-02,-6.1557307565E+00
-4.7500E-02,-6.1535884702E+00
-4.7480E-02,-6.1476671063E+00
-4.7460E-02,-6.1470657669E+00
-4.7440E-02,-6.1432492576E+00
-4.7420E-02,-6.1470657669E+00
-4.7400E-02,-6.1560177648E+00
-4.7380E-02,-6.1559016073E+00
-4.7360E-02,-6.1715280380E+00
-4.7340E-02,-6.1694774952E+00
-4.7320E-02,-6.1681728210E+00
-4.7300E-02,-6.1597816313E+00
-4.7280E-02,-6.1908162444E+00
-4.7260E-02,-6.1746128884E+00
-4.7240E-02,-6.1688761558E+00
-4.7220E-02,-6.1646531905E+00
-4.7200E-02,-6.1689959373E+00
-4.7180E-02,-6.1691852417E+00
-4.7160E-02,-6.1790963975E+00
-4.7140E-02,-6.1816762773E+00
-4.7120E-02,-6.1967031807E+00
-4.7100E-02,-6.1702506866E+00
-4.7080E-02,-6.1756600228E+00
-4.7060E-02,-6.1864338724E+00
-4.7040E-02,-6.2240460728E+00
-4.7020E-02,-6.1826257078E+00
-4.7000E-02,-6.2021566720E+00
-4.6980E-02,-6.2055139394E+00
-4.6960E-02,-6.1993602127E+00
-4.6940E-02,-6.1932971805E+00
-4.6920E-02,-6.2040951581E+00
-4.6900E-02,-6.1795703260E+00
