Vernier Format 2
Ge_Lampe.cmbl 06.10.2014 12:53:55 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

87,5	57,882646653	0,130647	0,0757021	2799,61003673	0,442561636708
88	58,1436725214	0,155067	0,029304	2807,58713129	0,441304202528
88,5	58,4046983898	0,131868	0,047619	2815,50595459	0,440063001103
89	58,9267501266	0,113553	0,013431	2831,16813125	0,437628548557
89,5	59,187775995	0,114774	0,04884	2838,91115954	0,436434932399
90	59,7098277318	0,113553	0,028083	2854,2202925	0,434094033757
90,5	59,9708536002	0,120879	0,0549451	2861,78607943	0,432946406758
91	60,492905337	0,13431	0,029304	2876,73930907	0,43069596056
91,5	60,7539312054	0,105006	0,0634921	2884,12644143	0,429592816114
92	61,0149570738	0,0903541	0,00854701	2891,45371396	0,428504179063
92,5	61,6022652777	0,0915751	0,0537241	2907,72042903	0,426106990077
93	61,8632911461	0,113553	0,020757	2914,85211334	0,425064446436
93,5	62,3853428829	0,0695971	0,0744811	2928,93384263	0,423020821423
94	62,6463687513	0,0793651	0,019536	2935,88359533	0,422019456755
94,5	63,1684204881	0,0659341	0,04884	2949,60015568	0,420056934705
95	63,4294463565	0,0659341	0,010989	2956,36667863	0,419095509686
95,5	63,9514980933	0,0647131	0,046398	2969,7155079	0,417211681289
96	64,2125239617	0,0720391	0,029304	2976,29753716	0,416289025049
96,5	64,5388062972	0,0683761	0,0610501	2984,43818982	0,41515351339
97	65,060858034	0,0659341	0,017094	2997,26181485	0,413377301196
97,5	65,3218839024	0,0561661	0,041514	3003,58038168	0,412507688343
98	65,8439356392	0,037851	0,013431	3016,03036828	0,41080488215
98,5	66,1049615076	0,028083	0,0598291	3022,16152964	0,409971468384
99	66,6922697115	0,042735	0,026862	3035,72711369	0,408139451801
99,5	66,8880391128	0,017094	0,0549451	3040,1781629	0,407541904984
100	67,4753473167	0,0525031	0,020757	3053,31814662	0,405788044515
